"","make","year","transtype","youSaveSpend"
"1","Acura",2004,"Automatic",-18250
"2","Acura",2004,"Manual",-9750
"3","Acura",2005,"Automatic",-17500
"4","Acura",2005,"Manual",-10250
"5","Acura",2006,"Automatic",-13000
"6","Acura",2006,"Manual",-5750
"7","Acura",2007,"Automatic",-20250
"8","Acura",2007,"Manual",-4500
"9","Acura",2008,"Automatic",-20250
"10","Acura",2008,"Manual",-4500
"11","Acura",2009,"Automatic",-20000
"12","Acura",2009,"Manual",-1750
"13","Acura",2010,"Automatic",-28000
"14","Acura",2010,"Manual",-5000
"15","Acura",2011,"Automatic",-26500
"16","Acura",2011,"Manual",-4500
"17","Acura",2012,"Automatic",-25000
"18","Acura",2012,"Manual",-4500
"19","Acura",2013,"Automatic",-16750
"20","Acura",2013,"Manual",-5250
"21","Acura",2014,"Automatic",-13250
"22","Acura",2014,"Manual",-5250
"23","Acura",2015,"Automatic",-10250
"24","Acura",2015,"Manual",-750
"25","Aston Martin",2004,"Automatic",-9500
"26","Aston Martin",2005,"Automatic",-30000
"27","Aston Martin",2005,"Manual",-22000
"28","Aston Martin",2006,"Automatic",-30000
"29","Aston Martin",2006,"Manual",-30250
"30","Aston Martin",2007,"Automatic",-26000
"31","Aston Martin",2007,"Manual",-29000
"32","Aston Martin",2008,"Automatic",-26000
"33","Aston Martin",2008,"Manual",-29000
"34","Aston Martin",2009,"Automatic",-23500
"35","Aston Martin",2009,"Manual",-27250
"36","Aston Martin",2010,"Automatic",-28250
"37","Aston Martin",2010,"Manual",-27250
"38","Aston Martin",2011,"Automatic",-34250
"39","Aston Martin",2011,"Manual",-35500
"40","Aston Martin",2012,"Automatic",-47250
"41","Aston Martin",2012,"Manual",-35500
"42","Aston Martin",2013,"Automatic",-19000
"43","Aston Martin",2013,"Manual",-14000
"44","Aston Martin",2014,"Automatic",-33000
"45","Aston Martin",2014,"Manual",-14000
"46","Aston Martin",2015,"Automatic",-44500
"47","Aston Martin",2015,"Manual",-21000
"48","Audi",2004,"Automatic",-81750
"49","Audi",2004,"Manual",-45250
"50","Audi",2005,"Automatic",-98000
"51","Audi",2005,"Manual",-46250
"52","Audi",2006,"Automatic",-83750
"53","Audi",2006,"Manual",-36500
"54","Audi",2007,"Automatic",-98750
"55","Audi",2007,"Manual",-41500
"56","Audi",2008,"Automatic",-119750
"57","Audi",2008,"Manual",-73500
"58","Audi",2009,"Automatic",-108250
"59","Audi",2009,"Manual",-31000
"60","Audi",2010,"Automatic",-81250
"61","Audi",2010,"Manual",-24500
"62","Audi",2011,"Automatic",-76750
"63","Audi",2011,"Manual",-43500
"64","Audi",2012,"Automatic",-70500
"65","Audi",2012,"Manual",-46750
"66","Audi",2013,"Automatic",-75500
"67","Audi",2013,"Manual",-12000
"68","Audi",2014,"Automatic",-94500
"69","Audi",2014,"Manual",-40500
"70","Audi",2015,"Automatic",-90500
"71","Audi",2015,"Manual",-40500
"72","Bentley",2004,"Automatic",-36500
"73","Bentley",2005,"Automatic",-36500
"74","Bentley",2006,"Automatic",-46000
"75","Bentley",2007,"Automatic",-66750
"76","Bentley",2008,"Automatic",-69750
"77","Bentley",2009,"Automatic",-82500
"78","Bentley",2010,"Automatic",-65250
"79","Bentley",2011,"Automatic",-45000
"80","Bentley",2012,"Automatic",-50750
"81","Bentley",2013,"Automatic",-66250
"82","Bentley",2014,"Automatic",-47250
"83","Bentley",2015,"Automatic",-50000
"84","BMW",2004,"Automatic",-159500
"85","BMW",2004,"Manual",-79250
"86","BMW",2005,"Automatic",-148500
"87","BMW",2005,"Manual",-79250
"88","BMW",2006,"Automatic",-164500
"89","BMW",2006,"Manual",-99000
"90","BMW",2007,"Automatic",-146500
"91","BMW",2007,"Manual",-116500
"92","BMW",2008,"Automatic",-169250
"93","BMW",2008,"Manual",-149000
"94","BMW",2009,"Automatic",-164750
"95","BMW",2009,"Manual",-137750
"96","BMW",2010,"Automatic",-215750
"97","BMW",2010,"Manual",-135250
"98","BMW",2011,"Automatic",-206000
"99","BMW",2011,"Manual",-75250
"100","BMW",2012,"Automatic",-222250
"101","BMW",2012,"Manual",-68000
"102","BMW",2013,"Automatic",-214250
"103","BMW",2013,"Manual",-75250
"104","BMW",2014,"Automatic",-146750
"105","BMW",2014,"Manual",-36250
"106","BMW",2015,"Automatic",-178250
"107","BMW",2015,"Manual",-43000
"108","Buick",2004,"Automatic",-36500
"109","Buick",2005,"Automatic",-45000
"110","Buick",2006,"Automatic",-41750
"111","Buick",2007,"Automatic",-33750
"112","Buick",2008,"Automatic",-22500
"113","Buick",2009,"Automatic",-14750
"114","Buick",2010,"Automatic",-17500
"115","Buick",2011,"Automatic",-14750
"116","Buick",2011,"Manual",0
"117","Buick",2012,"Automatic",-9500
"118","Buick",2012,"Manual",-750
"119","Buick",2013,"Automatic",-7750
"120","Buick",2013,"Manual",-750
"121","Buick",2014,"Automatic",-5750
"122","Buick",2014,"Manual",0
"123","Buick",2015,"Automatic",-5750
"124","Buick",2015,"Manual",0
"125","Cadillac",2004,"Automatic",-85750
"126","Cadillac",2004,"Manual",-9000
"127","Cadillac",2005,"Automatic",-103750
"128","Cadillac",2005,"Manual",-11250
"129","Cadillac",2006,"Automatic",-118750
"130","Cadillac",2006,"Manual",-10500
"131","Cadillac",2007,"Automatic",-89750
"132","Cadillac",2007,"Manual",-11250
"133","Cadillac",2008,"Automatic",-99250
"134","Cadillac",2008,"Manual",-4500
"135","Cadillac",2009,"Automatic",-93000
"136","Cadillac",2009,"Manual",-4500
"137","Cadillac",2010,"Automatic",-67250
"138","Cadillac",2010,"Manual",-10500
"139","Cadillac",2011,"Automatic",-80750
"140","Cadillac",2011,"Manual",-16500
"141","Cadillac",2012,"Automatic",-59500
"142","Cadillac",2012,"Manual",-14250
"143","Cadillac",2013,"Automatic",-71500
"144","Cadillac",2013,"Manual",-14750
"145","Cadillac",2014,"Automatic",-77250
"146","Cadillac",2014,"Manual",-18500
"147","Cadillac",2015,"Automatic",-61750
"148","Cadillac",2015,"Manual",-6500
"149","Chevrolet",2004,"Automatic",-399750
"150","Chevrolet",2004,"Manual",-44250
"151","Chevrolet",2005,"Automatic",-350250
"152","Chevrolet",2005,"Manual",-53750
"153","Chevrolet",2006,"Automatic",-309750
"154","Chevrolet",2006,"Manual",-56750
"155","Chevrolet",2007,"Automatic",-348500
"156","Chevrolet",2007,"Manual",-28250
"157","Chevrolet",2008,"Automatic",-287000
"158","Chevrolet",2008,"Manual",-15000
"159","Chevrolet",2009,"Automatic",-301000
"160","Chevrolet",2009,"Manual",-11500
"161","Chevrolet",2010,"Automatic",-158000
"162","Chevrolet",2010,"Manual",-8750
"163","Chevrolet",2011,"Automatic",-220750
"164","Chevrolet",2011,"Manual",-12000
"165","Chevrolet",2012,"Automatic",-238250
"166","Chevrolet",2012,"Manual",-13250
"167","Chevrolet",2013,"Automatic",-178500
"168","Chevrolet",2013,"Manual",-4250
"169","Chevrolet",2014,"Automatic",-118250
"170","Chevrolet",2014,"Manual",0
"171","Chevrolet",2015,"Automatic",-146750
"172","Chevrolet",2015,"Manual",-12000
"173","Chrysler",2004,"Automatic",-42500
"174","Chrysler",2004,"Manual",-12000
"175","Chrysler",2005,"Automatic",-73250
"176","Chrysler",2005,"Manual",-18000
"177","Chrysler",2006,"Automatic",-66500
"178","Chrysler",2006,"Manual",-15500
"179","Chrysler",2007,"Automatic",-75250
"180","Chrysler",2007,"Manual",-15500
"181","Chrysler",2008,"Automatic",-97250
"182","Chrysler",2008,"Manual",-14000
"183","Chrysler",2009,"Automatic",-52500
"184","Chrysler",2009,"Manual",-500
"185","Chrysler",2010,"Automatic",-31750
"186","Chrysler",2011,"Automatic",-13250
"187","Chrysler",2012,"Automatic",-19250
"188","Chrysler",2013,"Automatic",-20750
"189","Chrysler",2014,"Automatic",-22000
"190","Chrysler",2015,"Automatic",-10250
"191","Dodge",2004,"Automatic",-121250
"192","Dodge",2004,"Manual",-64250
"193","Dodge",2005,"Automatic",-143250
"194","Dodge",2005,"Manual",-63250
"195","Dodge",2006,"Automatic",-172750
"196","Dodge",2006,"Manual",-60000
"197","Dodge",2007,"Automatic",-133000
"198","Dodge",2007,"Manual",-40250
"199","Dodge",2008,"Automatic",-182250
"200","Dodge",2008,"Manual",-53000
"201","Dodge",2009,"Automatic",-128750
"202","Dodge",2009,"Manual",-26500
"203","Dodge",2010,"Automatic",-101250
"204","Dodge",2010,"Manual",-20250
"205","Dodge",2011,"Automatic",-98750
"206","Dodge",2011,"Manual",-8500
"207","Dodge",2012,"Automatic",-72500
"208","Dodge",2012,"Manual",-8750
"209","Dodge",2013,"Automatic",-49750
"210","Dodge",2013,"Manual",-4750
"211","Dodge",2014,"Automatic",-48750
"212","Dodge",2014,"Manual",-5000
"213","Dodge",2015,"Automatic",-54250
"214","Dodge",2015,"Manual",-23250
"215","Ferrari",2004,"Automatic",-36500
"216","Ferrari",2004,"Manual",-25500
"217","Ferrari",2005,"Automatic",-49250
"218","Ferrari",2005,"Manual",-47500
"219","Ferrari",2006,"Automatic",-35000
"220","Ferrari",2006,"Manual",-33250
"221","Ferrari",2007,"Automatic",-33250
"222","Ferrari",2007,"Manual",-33250
"223","Ferrari",2008,"Automatic",-33250
"224","Ferrari",2008,"Manual",-31500
"225","Ferrari",2009,"Automatic",-40250
"226","Ferrari",2009,"Manual",-31500
"227","Ferrari",2010,"Automatic",-39000
"228","Ferrari",2010,"Manual",-22000
"229","Ferrari",2011,"Automatic",-63500
"230","Ferrari",2011,"Manual",-22000
"231","Ferrari",2012,"Automatic",-66000
"232","Ferrari",2013,"Automatic",-81500
