"","make","year","transtype","atvType","feScore"
"1","Acura",2013,"Automatic","Gasoline",8
"2","Acura",2013,"Automatic","Gasoline",10
"3","Acura",2013,"Automatic","Gasoline",24
"4","Acura",2013,"Automatic","Gasoline",14
"5","Acura",2013,"Automatic","Hybrid",9
"6","Acura",2013,"Manual","Gasoline",5
"7","Acura",2013,"Manual","Gasoline",12
"8","Acura",2014,"Automatic","Gasoline",15
"9","Acura",2014,"Automatic","Gasoline",36
"10","Acura",2014,"Automatic","Gasoline",14
"11","Acura",2014,"Automatic","Hybrid",8
"12","Acura",2014,"Automatic","Hybrid",9
"13","Acura",2014,"Manual","Gasoline",5
"14","Acura",2014,"Manual","Gasoline",12
"15","Acura",2015,"Automatic","Gasoline",20
"16","Acura",2015,"Automatic","Gasoline",18
"17","Acura",2015,"Automatic","Gasoline",14
"18","Acura",2015,"Manual","Gasoline",6
"19","Aston Martin",2013,"Automatic","Gasoline",9
"20","Aston Martin",2013,"Manual","Gasoline",6
"21","Aston Martin",2014,"Automatic","Gasoline",6
"22","Aston Martin",2014,"Automatic","Gasoline",6
"23","Aston Martin",2014,"Manual","Gasoline",4
"24","Aston Martin",2015,"Automatic","Gasoline",2
"25","Aston Martin",2015,"Automatic","Gasoline",15
"26","Aston Martin",2015,"Automatic","Gasoline",4
"27","Aston Martin",2015,"Manual","Gasoline",9
"28","Audi",2013,"Automatic","Diesel",5
"29","Audi",2013,"Automatic","Diesel",9
"30","Audi",2013,"Automatic","FFV",30
"31","Audi",2013,"Automatic","Gasoline",3
"32","Audi",2013,"Automatic","Gasoline",20
"33","Audi",2013,"Automatic","Gasoline",55
"34","Audi",2013,"Automatic","Gasoline",48
"35","Audi",2013,"Automatic","Gasoline",35
"36","Audi",2013,"Automatic","Hybrid",7
"37","Audi",2013,"Manual","Gasoline",15
"38","Audi",2013,"Manual","Gasoline",6
"39","Audi",2013,"Manual","Gasoline",14
"40","Audi",2014,"Automatic","Diesel",5
"41","Audi",2014,"Automatic","Diesel",28
"42","Audi",2014,"Automatic","FFV",30
"43","Audi",2014,"Automatic","Gasoline",15
"44","Audi",2014,"Automatic","Gasoline",28
"45","Audi",2014,"Automatic","Gasoline",55
"46","Audi",2014,"Automatic","Gasoline",6
"47","Audi",2014,"Automatic","Gasoline",35
"48","Audi",2014,"Automatic","Hybrid",7
"49","Audi",2014,"Manual","Gasoline",8
"50","Audi",2014,"Manual","Gasoline",10
"51","Audi",2014,"Manual","Gasoline",14
"52","Audi",2015,"Automatic","Diesel",5
"53","Audi",2015,"Automatic","Diesel",28
"54","Audi",2015,"Automatic","Diesel",8
"55","Audi",2015,"Automatic","FFV",5
"56","Audi",2015,"Automatic","FFV",24
"57","Audi",2015,"Automatic","Gasoline",6
"58","Audi",2015,"Automatic","Gasoline",32
"59","Audi",2015,"Automatic","Gasoline",80
"60","Audi",2015,"Automatic","Gasoline",24
"61","Audi",2015,"Automatic","Gasoline",35
"62","Audi",2015,"Automatic","Hybrid",6
"63","Audi",2015,"Manual","Gasoline",8
"64","Audi",2015,"Manual","Gasoline",10
"65","Audi",2015,"Manual","Gasoline",12
"66","Bentley",2013,"Automatic","FFV",8
"67","Bentley",2013,"Automatic","FFV",6
"68","Bentley",2013,"Automatic","Gasoline",2
"69","Bentley",2013,"Automatic","Gasoline",8
"70","Bentley",2014,"Automatic","FFV",8
"71","Bentley",2014,"Automatic","Gasoline",1
"72","Bentley",2014,"Automatic","Gasoline",3
"73","Bentley",2014,"Automatic","Gasoline",4
"74","Bentley",2015,"Automatic","FFV",9
"75","Bentley",2015,"Automatic","Gasoline",1
"76","Bentley",2015,"Automatic","Gasoline",16
"77","BMW",2013,"Automatic","Diesel",5
"78","BMW",2013,"Automatic","Gasoline",4
"79","BMW",2013,"Automatic","Gasoline",27
"80","BMW",2013,"Automatic","Gasoline",92
"81","BMW",2013,"Automatic","Gasoline",85
"82","BMW",2013,"Automatic","Gasoline",42
"83","BMW",2013,"Automatic","Gasoline",77
"84","BMW",2013,"Automatic","Hybrid",6
"85","BMW",2013,"Automatic","Hybrid",14
"86","BMW",2013,"Manual","Gasoline",6
"87","BMW",2013,"Manual","Gasoline",24
"88","BMW",2013,"Manual","Gasoline",50
"89","BMW",2013,"Manual","Gasoline",30
"90","BMW",2013,"Manual","Gasoline",28
"91","BMW",2014,"Automatic","Diesel",7
"92","BMW",2014,"Automatic","Diesel",16
"93","BMW",2014,"Automatic","Diesel",27
"94","BMW",2014,"Automatic","EV",10
"95","BMW",2014,"Automatic","Gasoline",4
"96","BMW",2014,"Automatic","Gasoline",18
"97","BMW",2014,"Automatic","Gasoline",52
"98","BMW",2014,"Automatic","Gasoline",85
"99","BMW",2014,"Automatic","Gasoline",102
"100","BMW",2014,"Automatic","Gasoline",105
"101","BMW",2014,"Automatic","Hybrid",6
"102","BMW",2014,"Automatic","Hybrid",14
"103","BMW",2014,"Automatic","Plug-in Hybrid",9
"104","BMW",2014,"Automatic","Plug-in Hybrid",10
"105","BMW",2014,"Manual","Gasoline",12
"106","BMW",2014,"Manual","Gasoline",5
"107","BMW",2014,"Manual","Gasoline",36
"108","BMW",2014,"Manual","Gasoline",35
"109","BMW",2015,"Automatic","Diesel",6
"110","BMW",2015,"Automatic","Diesel",28
"111","BMW",2015,"Automatic","Diesel",16
"112","BMW",2015,"Automatic","Diesel",9
"113","BMW",2015,"Automatic","EV",10
"114","BMW",2015,"Automatic","Gasoline",21
"115","BMW",2015,"Automatic","Gasoline",76
"116","BMW",2015,"Automatic","Gasoline",125
"117","BMW",2015,"Automatic","Gasoline",162
"118","BMW",2015,"Automatic","Gasoline",77
"119","BMW",2015,"Automatic","Hybrid",12
"120","BMW",2015,"Automatic","Hybrid",7
"121","BMW",2015,"Automatic","Plug-in Hybrid",9
"122","BMW",2015,"Automatic","Plug-in Hybrid",10
"123","BMW",2015,"Manual","Gasoline",16
"124","BMW",2015,"Manual","Gasoline",35
"125","BMW",2015,"Manual","Gasoline",36
"126","BMW",2015,"Manual","Gasoline",7
"127","Buick",2013,"Automatic","FFV",20
"128","Buick",2013,"Automatic","FFV",12
"129","Buick",2013,"Automatic","Gasoline",8
"130","Buick",2013,"Automatic","Gasoline",10
"131","Buick",2013,"Automatic","Gasoline",12
"132","Buick",2013,"Automatic","Gasoline",14
"133","Buick",2013,"Automatic","Hybrid",16
"134","Buick",2013,"Manual","FFV",6
"135","Buick",2013,"Manual","Gasoline",5
"136","Buick",2013,"Manual","Gasoline",6
"137","Buick",2014,"Automatic","FFV",10
"138","Buick",2014,"Automatic","Gasoline",8
"139","Buick",2014,"Automatic","Gasoline",10
"140","Buick",2014,"Automatic","Gasoline",24
"141","Buick",2014,"Automatic","Gasoline",14
"142","Buick",2014,"Automatic","Hybrid",14
"143","Buick",2014,"Manual","Gasoline",12
"144","Buick",2015,"Automatic","FFV",10
"145","Buick",2015,"Automatic","Gasoline",8
"146","Buick",2015,"Automatic","Gasoline",15
"147","Buick",2015,"Automatic","Gasoline",24
"148","Buick",2015,"Automatic","Gasoline",7
"149","Buick",2015,"Automatic","Hybrid",14
"150","Buick",2015,"Manual","Gasoline",12
"151","Cadillac",2013,"Automatic","FFV",4
"152","Cadillac",2013,"Automatic","FFV",9
"153","Cadillac",2013,"Automatic","FFV",8
"154","Cadillac",2013,"Automatic","FFV",10
"155","Cadillac",2013,"Automatic","Gasoline",4
"156","Cadillac",2013,"Automatic","Gasoline",8
"157","Cadillac",2013,"Automatic","Gasoline",60
"158","Cadillac",2013,"Automatic","Gasoline",12
"159","Cadillac",2013,"Automatic","Gasoline",7
"160","Cadillac",2013,"Automatic","Hybrid",10
"161","Cadillac",2013,"Manual","Gasoline",6
"162","Cadillac",2013,"Manual","Gasoline",4
"163","Cadillac",2013,"Manual","Gasoline",6
"164","Cadillac",2014,"Automatic","FFV",4
"165","Cadillac",2014,"Automatic","FFV",6
"166","Cadillac",2014,"Automatic","Gasoline",6
"167","Cadillac",2014,"Automatic","Gasoline",6
"168","Cadillac",2014,"Automatic","Gasoline",16
"169","Cadillac",2014,"Automatic","Gasoline",65
"170","Cadillac",2014,"Automatic","Gasoline",18
"171","Cadillac",2014,"Automatic","Gasoline",7
"172","Cadillac",2014,"Automatic","Plug-in Hybrid",10
"173","Cadillac",2014,"Manual","Gasoline",9
"174","Cadillac",2014,"Manual","Gasoline",6
"175","Cadillac",2015,"Automatic","Gasoline",2
"176","Cadillac",2015,"Automatic","Gasoline",9
"177","Cadillac",2015,"Automatic","Gasoline",44
"178","Cadillac",2015,"Automatic","Gasoline",40
"179","Cadillac",2015,"Automatic","Gasoline",18
"180","Cadillac",2015,"Automatic","Plug-in Hybrid",10
"181","Cadillac",2015,"Manual","Gasoline",3
"182","Cadillac",2015,"Manual","Gasoline",5
"183","Chevrolet",2013,"Automatic","FFV",2
"184","Chevrolet",2013,"Automatic","FFV",20
"185","Chevrolet",2013,"Automatic","FFV",9
"186","Chevrolet",2013,"Automatic","FFV",48
"187","Chevrolet",2013,"Automatic","FFV",10
"188","Chevrolet",2013,"Automatic","FFV",12
"189","Chevrolet",2013,"Automatic","FFV",7
"190","Chevrolet",2013,"Automatic","Gasoline",2
"191","Chevrolet",2013,"Automatic","Gasoline",2
"192","Chevrolet",2013,"Automatic","Gasoline",3
"193","Chevrolet",2013,"Automatic","Gasoline",28
"194","Chevrolet",2013,"Automatic","Gasoline",20
"195","Chevrolet",2013,"Automatic","Gasoline",12
"196","Chevrolet",2013,"Automatic","Gasoline",42
"197","Chevrolet",2013,"Automatic","Gasoline",40
"198","Chevrolet",2013,"Automatic","Hybrid",20
"199","Chevrolet",2013,"Automatic","Hybrid",8
"200","Chevrolet",2013,"Automatic","Plug-in Hybrid",10
"201","Chevrolet",2013,"Manual","Gasoline",3
"202","Chevrolet",2013,"Manual","Gasoline",16
"203","Chevrolet",2013,"Manual","Gasoline",5
"204","Chevrolet",2013,"Manual","Gasoline",64
"205","Chevrolet",2013,"Manual","Gasoline",9
"206","Chevrolet",2014,"Automatic","Diesel",8
"207","Chevrolet",2014,"Automatic","EV",10
"208","Chevrolet",2014,"Automatic","FFV",3
"209","Chevrolet",2014,"Automatic","FFV",12
"210","Chevrolet",2014,"Automatic","FFV",12
"211","Chevrolet",2014,"Automatic","FFV",24
"212","Chevrolet",2014,"Automatic","FFV",20
"213","Chevrolet",2014,"Automatic","FFV",12
"214","Chevrolet",2014,"Automatic","FFV",7
"215","Chevrolet",2014,"Automatic","Gasoline",2
"216","Chevrolet",2014,"Automatic","Gasoline",2
"217","Chevrolet",2014,"Automatic","Gasoline",12
"218","Chevrolet",2014,"Automatic","Gasoline",16
"219","Chevrolet",2014,"Automatic","Gasoline",25
"220","Chevrolet",2014,"Automatic","Gasoline",18
"221","Chevrolet",2014,"Automatic","Gasoline",49
"222","Chevrolet",2014,"Automatic","Gasoline",40
"223","Chevrolet",2014,"Automatic","Hybrid",14
"224","Chevrolet",2014,"Automatic","Plug-in Hybrid",10
"225","Chevrolet",2014,"Manual","Gasoline",2
"226","Chevrolet",2014,"Manual","Gasoline",3
